movie_id,actor_id,character,cast_order
102899,19034,Hope van Dyne,3
102899,74541,Darren Cross / Yellowjacket,4
102899,21127,Paxton,5
102899,454,Luis,6
102899,76126,Dave,7
102899,53650,Sam Wilson / Falcon,8
102899,65829,Gale,9
102899,20750,Maggie Lang,10
74,500,Ray Ferrier,1
74,501,Rachel Ferrier,2
74,502,Mary-Ann,3
74,503,Robbie Ferrier,4
74,504,Harlan Ogilvy,5
74,505,News Producer,6
74,506,Ferry Captain,7
74,192,Narrator (Voice),8
74,33500,Older Woman,9
74,75604,Julio,10
417859,3131,Puss in Boots (voice),1
417859,3136,Kitty Softpaws (voice),2
417859,58225,Humpty Dumpty (voice),3
417859,879,Jack (voice),4
417859,12110,Jill (voice),5
417859,10828,Comandante / Hombre del bigote (voice),6
417859,92326,Imelda (voice),7
417859,64151,Andy Beanstalk (voice),8
417859,936666,Bounty Hunter (voice),9
417859,936667,Luis (voice),10
17578,478,Tintin (voice),1
17578,1333,Captain Haddock / Sir Francis Haddock (voice),2
17578,8784,Sakharine / Red Rackham (voice),3
17578,11109,Thomson (voice),4
17578,11108,Inspector Thompson (voice),5
17578,2130,Pilot (voice),6
17578,1711,Ernie (voice),7
17578,2220,Lt. Delcourt (voice),8
17578,13014,Silk (voice),9
17578,1670,Allan (voice),10
82700,120724,Kitai Raige,1
82700,2888,Cypher Raige,2
82700,2598,Faia Raige,3
82700,37153,Senshi Raige,4
82700,12797,Commander Velan,5
82700,62879,Hesper Navigator,6
82700,142193,Veteran Ranger,7
82700,62562,Private McQuarrie,8
82700,94798,Running Cadet,9
82700,1272929,Nine Year Old Kitai,10
10567,61962,Aladar (voice),1
10567,1981,Plio (voice),2
10567,15531,Yar (voice),3
10567,7133,Zini (voice),4
10567,17265,Suri (voice),5
10567,67392,Kron (voice),6
10567,25654,Neera (voice),7
10567,154693,Bruton (voice),8
10567,23709,Baylene (voice),9
10567,56950,Eema (voice),10
181533,7399,Larry Daley,1
181533,17838,Ahkmenrah,2
181533,221581,Tilly,3
181533,2157,Theodore Roosevelt,4
181533,887,Jedediah Smith,5
181533,61303,Cecil,6
181533,46074,Madeline Phelps,7
181533,2282,Merenkahre,8
181533,17835,Dr. McPhee,9
181533,1937,Gus,10
671,10980,Harry Potter,1
671,10989,Ron Weasley,2
671,10990,Hermione Granger,3
671,194,Albus Dumbledore,4
671,10993,Draco Malfoy,5
671,1923,Rubeus Hagrid,6
671,4566,Severus Snape,7
671,10978,Minerva McGonagall,8
671,10983,Vernon Dursley,9
671,10985,Quirinus Quirrell,10
172385,44735,Blu (voice),1
172385,1813,Jewel (voice),2
172385,41087,Linda (voice),3
172385,134,Nico (voice),4
172385,1271,Eduardo (voice),5
172385,969218,Roberto (voice),6
172385,55936,Nigel (voice),7
172385,17289,Tulio (voice),8
172385,60255,Fernando (voice),9
172385,561869,Bia (voice),10
861,1100,Douglas Quaid/Hauser,1
861,4430,Lori,2
861,10768,Melina,3
861,780,Vilos Cohaagen,4
861,11086,Richter,5
861,3041,George/Kuato,6
861,12888,Dr. Edgemar,7
861,12889,Bob McClane,8
861,44275,Dr. Lull,9
861,14329,Tony,10
49040,17604,Aaron Cross,1
49040,3293,Dr. Marta Shearing,2
49040,819,Byer,3
49040,349,Ezra Kramer,4
49040,825,Turso,5
49040,11148,Pamela Landy,6
49040,2517,Dita Mandy,7
49040,3926,Dr. Albert Hirsch,8
49040,87070,Arthur Ingram,9
49040,25072,#3,10
8871,206,Grinch,1
8871,20480,Cindy Lou Who,2
8871,4175,Mayor Augustus Maywho,3
8871,11870,Martha May Whovier,4
8871,58549,Lou Lou Who,5
8871,28640,Betty Lout Who,6
8871,15661,Whobris,7
8871,167661,8-Year-Old Grinch,8
8871,13924,Clarnella,9
8871,155983,Rose,10
955,500,Ethan Hunt,1
955,15336,Sean Ambrose,2
955,9030,Nyah Nordoff-Hall,3
955,10182,Luther Stickell,4
955,12206,Hugh Stamp,5
955,15337,Billy Baird,6
955,2039,John C. McCloy,7
955,1118,Dr. Nekhorvich,8
955,15338,Wallis,9
955,10862,Ulrich,10
87827,933160,Pi Patel (16 / 17 Years),1
87827,76793,Pi Patel (Adult),2
87827,935504,Pi Patel (11 / 12 Years),3
87827,1133846,Pi Patel (5 Years),4
87827,227849,Santosh Patel,5
87827,55062,Gita Patel,6
87827,1377778,Ravi Patel (7 Years),7
87827,1133848,Ravi Patel ( 13/ 14 years),8
87827,1133849,Ravi Patel (18/19 years),9
87827,28847,Writer,10
1250,2963,Johnny Blaze/Ghost Rider,1
1250,8170,Roxanne Simpson,2
1250,8210,Blackheart / Black King,3
1250,10825,Mack,4
1250,16431,Carter Slade / Phantom Rider,5
1250,8949,Mephistopheles,6
1250,16841,Barton Blaze,7
1250,16839,Young Johnny Blaze,8
1250,16840,Young Roxanne Simpson,9
1250,1297400,Team Blaze,10
68724,1892,Max,1
68724,1038,Delacourt,2
68724,82191,Kruger,3
68724,8602,Frey,4
68724,8688,Julio,5
68724,52583,Spider,6
68724,886,John Carlyle,7
68724,57452,President Patel,8
68724,20191,Sandro,9
68724,206928,Young Max,10
2789,12835,Riddick,1
2789,9030,Dame Vaako,2
2789,1372,Vaako,3
2789,10132,Lord Marshal,4
2789,3900,Purifier,5
2789,65827,Imam,6
2789,31387,The Guv,7
2789,18461,Toombs,8
2789,28109,Kyra,9
2789,25877,Toal,10
97020,92404,RoboCop,1
97020,64,Norton,2
97020,2232,Raymond Sellars,3
97020,37260,Ellen Murphy,4
97020,17183,Maddox,5
97020,39390,Jack Lewis,6
97020,49971,Liz Kline,7
97020,449,Pope,8
97020,17352,Karen Dean,9
97020,2231,Pat Novak,10
7459,46593,Speed Racer,1
7459,6886,Trixie,2
7459,28657,Racer X,3
7459,4038,Mom Racer,4
7459,53368,Rex Racer,5
7459,1230,Pops Racer,6
7459,42160,Young Trixie,7
7459,65202,Young Speed Racer,8
7459,9195,Mr. Musha,9
7459,44792,Fuji Announcer,10
49519,2963,Grug Crood (voice),1
49519,54693,Eep Crood (voice),2
49519,10859,Guy (voice),3
49519,2229,Ugga Crood (voice),4
49519,9599,Gran Crood (voice),5
49519,54729,Thunk Crood (voice),6
49519,66193,Belt (voice),7
49519,42267,Sandy Crood (voice),8
49047,18277,Dr. Ryan Stone,1
49047,1461,Matt Kowalski,2
49047,228,Mission Control (voice),3
49047,1223440,Aningaaq (voice),4
49047,58587,Shariff (voice),5
49047,1223442,Explorer Captain (voice),6
49047,1027852,Space Station Captain (voice),7
9619,517,Harry Dalton,1
9619,2713,Rachel Wando,2
9619,58727,Lauren Wando,3
9619,108939,Graham Wando,4
9619,1219410,Ruth,5
9619,15414,Paul Dreyfus,6
9619,31511,Greg,7
9619,174794,Terry Furlong,8
9619,14722,Nancy,9
9619,21629,Stan,10
1593,7399,Larry Daley,1
1593,17834,Nick Daley,2
1593,17832,Rebecca,3
1593,2157,Theodore Roosevelt,4
1593,61303,Cecil Fredericks,5
1593,1937,Kaa,6
1593,8854,Reginald,7
1593,17835,Bambi,8
1593,17836,Erica Daley,9
1593,17837,Attila der Hunne,10
714,517,James Bond,1
714,378,Elliot Carver,2
714,1620,Wai Lin,3
714,10742,Paris Carver,4
714,10743,Henry Gupta,5
714,10744,Stamper,6
714,10671,Jack Wade,7
714,3418,Dr. Kaufman,8
714,5309,M,9
714,9906,Q,10
787,11701,Jane Smith,1
787,287,John Smith,2
787,4937,Eddie,3
787,11702,Benjamin Danz,4
787,11703,Jasmine,5
787,65827,Father,6
787,3288,Martin Coleman,7
787,11704,Suzy Coleman,8
787,11705,Gwen,9
787,59156,Julie - Associate #1,10
262500,94185,"Beatrice ""Tris"" Prior",1
262500,587020,"Tobias ""Four"" Eaton",2
262500,204,Jeanine Matthews,3
262500,1159982,Caleb Prior,4
262500,996701,Peter Hayes,5
262500,3489,Evelyn Johnson-Eaton,6
262500,21045,Tori Wu,7
262500,224181,Eric Coulter,8
262500,37153,Christina,9
262500,56614,Marcus Eaton,10
40805,19274,Britt Reid / Green Hornet,1
40805,17380,Kato,2
40805,27319,Chudnofsky,3
40805,6941,Lenore Case,4
40805,820,Tupper,5
40805,207,James Reid,6
