company_id,company_name
1916,Claraflora
36991,Clarius Entertainment
2297,Class 5 Films
37382,Classic Media
73951,Classic Media Productions
592,Claudie Ossard Productions
161,Claussen + Wöbke Filmproduktion GmbH
38944,Clavius Base
7449,Clear Blue Sky Productions
69028,Clear Lake Entertainment
53677,Clearwater Holdings Limited
45728,Cliffhanger Productions
8430,Cliffjack Motion Pictures
46051,Clifford Werber Productions
1274,Clinica Estetico
10566,Clipsal Films
25488,Clockwork Pictures
23022,Close Call Films
8537,Closest to the Hole Productions
11080,Cloud Atlas Productions
6708,Cloud Eight Films
2748,Clubdeal
12263,Clyde Is Hungry Films
234,CoBo Fund
23690,Coast Ridge
18619,Cobalt Media Group
67884,Cockamamie
87847,Coco
52949,Coconut Pete Productions
14589,Code Entertainment
4897,Code Productions
79434,Code Red Productions
35327,Codeblack Entertainment
79523,Codex Pictures
57736,Codi S.p.a.
12053,Cofinova 5
7456,Cofinova 6
9122,Cohen Media Group
2397,Cohen/Pearl Productions
3916,Cold Iron Pictures
2363,Cold Spring Pictures
35061,Colgems Productions Ltd.
2179,Collision Entertainment
4154,Colombia Pictures
5420,Color Force
87858,"Colorado Office of Film, Television & Media"
6041,Colossal Pictures
5,Columbia Pictures
441,Columbia Pictures Corporation
2798,Columbia Pictures Film Production Asia
5848,Columbia Pictures Industries
10202,Columbia TriStar Home Entertainment
20873,Columbia TriStar Home Video
1903,Columbus 81 Productions
1538,Comedy Central
7480,Comedy Central Films
45852,Comedy Partners
20637,Commission du Film France
20638,Commission du Film Île-de-France
11842,Company Pictures
14323,Compass International Pictures
4322,Compound B
36206,Comptom Investments
58333,Compulsion Inc.
2264,Concert Promotion International
76847,Connectic Studio
6087,Conquest Productions
50433,Conquistador Entertainment
11402,Conseil Régional de Franche-Comté
23370,Constant c Productions
47,Constantin Film
12162,Constantin Film International
53530,Constantin Film Ltd.
5755,Constantin Film Produktion
9078,Constantin Film.
14941,Constellation Entertainment
457,Constellation Films
73193,Contend
1420,ContentFilm
25487,ContentFilm International
7376,Continental Entertainment Group (CEG)
6279,Continental Producciones
1836,Contrafilm
1156,Conundrum Entertainment
3494,Cookout Productions
8139,Copacetic Pictures
21938,Copag V
5106,Copperheart Entertainment
30270,Coram Deo Studios
200,Corazón International
8580,Coração da Selva
18479,Corduroy Films
12213,Core Productions
67992,Cornelius Productions
8871,Corner Store Entertainment
12905,Corona Pictures
7178,Corrino Media Corporation
90195,Corrupter Production Service Ltd.
7299,Corsan
53673,Cort/Madden Productions
11573,Corus
11550,Corus Entertainment
1810,Cosmic Pictures
10187,Costa Films
24175,Cott Productions
11338,Cottage Industries
52728,Cougar Films Ltd.
7693,Count of Monte Cristo Ltd.
17048,Counterclock Productions
6714,Court 13 Pictures
30023,Court Five
55527,Courtside Seats Productions
245,Cowboy Films
2257,Cracking the Earth Films
11482,Cranium Films
16312,Crave Films
1600,Craven-Maddalena Films
337,Creado Film
