director_id,director_name,gender,gender_label
1027145,Andrew J. Smith,2,Male
66517,Andrew Jacobson,2,Male
23287,Andrew Jarecki,2,Male
229182,Andrew Leman,2,Male
57142,Andrew Marton,0,Unknown
53599,Andrew Morahan,2,Male
8685,Andrew Niccol,2,Male
7,Andrew Stanton,2,Male
1521130,Andrew Steggall,0,Unknown
81328,Andrew Traucki,2,Male
71555,Andrew Wilson,2,Male
68519,Andrey Zvyagintsev,0,Unknown
237884,Andrucha Waddington,0,Unknown
10765,Andrzej Bartkowiak,2,Male
96627,André Téchiné,2,Male
135113,André Øvredal,0,Unknown
1172908,Andrés Couturier,0,Unknown
80307,Andy Cadiff,2,Male
58375,Andy Fickman,2,Male
1271,Andy García,2,Male
1113116,Andy Muschietti,2,Male
17167,Andy Tennant,2,Male
1614,Ang Lee,2,Male
7312,Angela Robinson,1,Female
11701,Angelina Jolie,1,Female
44848,Angelo Pizzo,0,Unknown
53069,Anna Boden,1,Female
62773,Anna Mastro,0,Unknown
550280,Anna Muylaert,1,Female
58164,Annabel Jankel,0,Unknown
29214,Anne Fletcher,1,Female
48583,Anne Fontaine,1,Female
74106,Anne Sundberg,0,Unknown
1710652,Anonymous,0,Unknown
131242,Anthony Bell,2,Male
85822,Anthony C. Ferrante,2,Male
1216147,Anthony Hemingway,0,Unknown
48965,Anthony Hickox,2,Male
40199,Anthony Mann,2,Male
2239,Anthony Minghella,2,Male
1182832,Anthony Powell,0,Unknown
19271,Anthony Russo,2,Male
1199049,Anthony Silverston,0,Unknown
52691,Anthony Stacchi,2,Male
20907,Antoine Fuqua,2,Male
45052,Anton Corbijn,2,Male
3131,Antonio Banderas,2,Male
1283831,Antonio Simoncini,0,Unknown
119819,Anurag Basu,2,Male
56198,Ari Folman,2,Male
76009,Arie Posin,0,Unknown
142276,Ariel Schulman,2,Male
81476,Ariel Vromen,2,Male
631226,Arjun Sablok,0,Unknown
133259,Arthur Hiller,2,Male
66857,Arthur Qwak,2,Male
30293,Arthur Rosson,2,Male
72344,Asger Leth,0,Unknown
229931,Asghar Farhadi,2,Male
77465,Ash Baron-Cohen,0,Unknown
12905,Ash Brannon,2,Male
131856,Ashish R. Mohan,0,Unknown
56205,Atom Egoyan,2,Male
36805,Audrey Wells,1,Female
929825,Ava DuVernay,1,Female
95550,Avi Nesher,2,Male
87378,Ayan Mukherjee,0,Unknown
125044,Babar Ahmed,2,Male
67813,Baltasar Kormákur,2,Male
23393,Barbet Schroeder,2,Male
10400,Barbra Streisand,0,Unknown
21677,Barnaby Thompson,2,Male
1365766,Barrett Esposito,0,Unknown
66191,Barry Cook,2,Male
8246,Barry Levinson,2,Male
61571,Barry Skolnick,0,Unknown
5174,Barry Sonnenfeld,2,Male
57328,Barry W. Blaustein,2,Male
86203,Bart Freundlich,2,Male
6201,Baz Luhrmann,2,Male
939176,Becky Smith,0,Unknown
20237,Beeban Kidron,1,Female
880,Ben Affleck,2,Male
170820,Ben Falcone,2,Male
59413,Ben Garant,2,Male
61970,Ben Gluck,2,Male
168330,Ben Lewin,2,Male
11426,Ben Sharpsteen,2,Male
76100,Ben Stassen,2,Male
7399,Ben Stiller,2,Male
137467,Ben Wheatley,2,Male
24294,Ben Younger,2,Male
227936,Benedek Fliegauf,2,Male
42092,Benedikt Erlingsson,2,Male
223516,Benh Zeitlin,0,Unknown
101810,Benjamin Dickinson,2,Male
1092607,Benjamin Renner,0,Unknown
5345,Bennett Miller,2,Male
1290942,Benni Diez,0,Unknown
134129,Benny Boom,2,Male
1046142,Benson Lee,0,Unknown
4956,Bernardo Bertolucci,2,Male
9894,Bernhard Wicki,0,Unknown
545086,Beto Gómez,0,Unknown
55421,Betsy Chasse,1,Female
31024,Betty Thomas,1,Female
65629,Bibo Bergeron,2,Male
37577,Bigas Luna,2,Male
948217,Bill Benenson,2,Male
15557,Bill Condon,2,Male
1103,Bill Duke,2,Male
94011,Bill Melendez,2,Male
1062889,Bill Muir,0,Unknown
2053,Bill Paxton,2,Male
126125,Bill Plympton,0,Unknown
19684,Bille August,2,Male
62116,Bille Woodruff,0,Unknown
879,Billy Bob Thornton,2,Male
87191,Billy Kent,0,Unknown
21807,Billy Ray,2,Male
3146,Billy Wilder,0,Unknown
80924,Björn Stein,2,Male
58518,Blair Hayes,0,Unknown
1927,Blake Edwards,2,Male
1380244,Blaž Završnik,0,Unknown
5133,Bo Welch,2,Male
73833,Bo Zenga,2,Male
52358,Boaz Yakin,2,Male
12698,Bob Clark,2,Male
12648,Bob Dolman,2,Male
66777,Bob Fosse,0,Unknown
89467,Bob Giraldi,2,Male
36187,Bob Gosse,2,Male
59410,Bob Odenkirk,2,Male
19450,Bob Rafelson,2,Male
72450,Bob Saget,2,Male
47974,Bob Spiers,2,Male
7395,Bobby Farrelly,2,Male
111944,Bobby Roth,2,Male
95024,Bobcat Goldthwait,2,Male
21684,Bong Joon-ho,2,Male
5149,Bonnie Hunt,1,Female
1024216,Boris Rodriguez,0,Unknown
37948,Brad Anderson,2,Male
7087,Brad Bird,2,Male
68574,Brad Copeland,2,Male
144221,Brad Furman,2,Male
1156260,Brad J. Silverman,0,Unknown
32532,Brad Lewis,2,Male
132876,Brad Peyton,2,Male
11887,Brad Silberling,0,Unknown
131388,Bradley Rust Gray,2,Male
62541,Brandon Camp,2,Male
1081445,Brandon Cronenberg,2,Male
64227,Brandon Trost,2,Male
52609,Breck Eisner,2,Male
59803,Brenda Chapman,1,Female
82221,Brendan Malloy,2,Male
1111710,Brenna Sanchez,0,Unknown
57090,Brett Leonard,0,Unknown
98094,Brett Piper,2,Male
11091,Brett Ratner,2,Male
997560,Brett Winn,0,Unknown
1024823,Brian A Miller,0,Unknown
125637,Brian Baugh,2,Male
566314,Brian Caunter,2,Male
74259,Brian Dannelly,2,Male
1150,Brian De Palma,2,Male
1208166,Brian Dorton,0,Unknown
18069,Brian Gibson,2,Male
4723,Brian Helgeland,2,Male
65298,Brian Henson,2,Male
85563,Brian Herzlinger,2,Male
51996,Brian Klugman,2,Male
16304,Brian Koppelman,2,Male
13581,Brian Levant,2,Male
53177,Brian Robbins,2,Male
20192,Brian Taylor,2,Male
84981,Brian Trenchard-Smith,0,Unknown
27992,Brian Yuzna,2,Male
113733,Britt Allcroft,0,Unknown
18320,Bronwen Hughes,1,Female
5696,Bruce Beresford,2,Male
11357,Bruce Campbell,2,Male
1301700,Bruce Dellis,0,Unknown
44179,Bruce Hunt,2,Male
144528,Bruce MacDonald,0,Unknown
58040,Bruce Malmuth,2,Male
73499,Bruce McCulloch,2,Male
55189,Bruce McDonald,2,Male
173607,Bruce Paltrow,2,Male
69719,Bruno Barreto,2,Male
21769,Bruno Podalydès,2,Male
9032,Bryan Singer,2,Male
58552,Burr Steers,0,Unknown
76595,Byron Howard,2,Male
1514635,C. Fraser Press,0,Unknown
69737,C. Jay Cox,2,Male
1098477,Callan Brunker,0,Unknown
17397,Callie Khouri,1,Female
11649,Cameron Crowe,2,Male
928490,Camille Delamarre,0,Unknown
21712,Carl Franklin,0,Unknown
11572,Carl Theodor Dreyer,2,Male
7348,Carlos Carrera,0,Unknown
5714,Carlos Saldanha,2,Male
96369,Carlos Saura,2,Male
232216,Carmen Marron,0,Unknown
15378,Carol Reed,2,Male
4522,Caroline Link,1,Female
68212,Carroll Ballard,2,Male
1288774,Cary Bell,0,Unknown
544748,Caryn Waechter,0,Unknown
545261,Cassandra Nicolaou,0,Unknown
1161761,Catherine Gund,0,Unknown
19850,Catherine Hardwicke,1,Female
210562,Catherine Jelski,1,Female
1670361,Catherine Owens,0,Unknown
78488,Cathy Malkasian,1,Female
8636,Cecil B. DeMille,2,Male
1454884,Cedric Nicolas-Troyan,0,Unknown
1031144,Chad Hartigan,0,Unknown
1557430,Chad Kapper,0,Unknown
554948,Chao-Bin Su,0,Unknown
996070,Charles Adelman,0,Unknown
93136,Charles Binamé,2,Male
74058,Charles Ferguson,2,Male
76247,Charles Herman-Wurmfeld,2,Male
1270,Charles Martin Smith,2,Male
122728,Charles Matthau,0,Unknown
84113,Charles Robert Carner,2,Male
17764,Charles S. Dutton,2,Male
56106,Charles Shyer,2,Male
80215,Charles Stone III,2,Male
36147,Charles T. Kanganis,2,Male
13848,Charlie Chaplin,2,Male
202,Charlie Kaufman,2,Male
1467662,Charlie Levi,0,Unknown
565524,Chatrichalerm Yukol,2,Male
20640,Chen Kaige,2,Male
232937,Cheryl Dunye,0,Unknown
1122434,Chris Atkins,0,Unknown
15774,Chris Buck,0,Unknown
154705,Chris Butler,2,Male
10965,Chris Columbus,2,Male
1232592,Chris Eyre,0,Unknown
640,Chris Kentis,2,Male
58059,Chris Koch,2,Male
1401542,Chris Lofing,0,Unknown
9956,Chris Marker,0,Unknown
12098,Chris Miller,2,Male
117794,Chris Morris,2,Male
21931,Chris Nahon,2,Male
58137,Chris Noonan,2,Male
74589,Chris Paine,0,Unknown
124748,Chris Renaud,0,Unknown
2632,Chris Rock,2,Male
66193,Chris Sanders,2,Male
112289,Chris Shadley,0,Unknown
127936,Chris Stokes,0,Unknown
5713,Chris Wedge,2,Male
3288,Chris Weitz,0,Unknown
70238,Chris Williams,2,Male
54559,Christian Alvart,2,Male
70221,Christian Carion,2,Male
63820,Christian Ditter,2,Male
25735,Christian Duguay,2,Male
143079,Christian E. Christiansen,2,Male
75687,Christian Robinson,0,Unknown
130530,Christian Sesma,2,Male
57557,Christian Volckman,2,Male
1349420,Christine Cynn,0,Unknown
74152,Christine Jeffs,1,Female
123912,Christophe Ali,0,Unknown
43993,Christophe Barratier,2,Male
8296,Christophe Gans,2,Male
54248,Christopher B. Landon,2,Male
1102620,Christopher Bessette,0,Unknown
56828,Christopher Cain,2,Male
1357,Christopher Doyle,2,Male
234818,Christopher Erskin,2,Male
13524,Christopher Guest,2,Male
113682,Christopher Hutson,2,Male
