actor_id,actor_name,gender,gender_label
88029,Alison Brie,1,Female
389,Alison Eastwood,1,Female
15675,Alison Elliott,1,Female
2841,Alison Folland,1,Female
31242,Alison Lees-Taylor,1,Female
8291,Alison Lohman,1,Female
173251,Alison Moir,1,Female
17486,Alison Pill,1,Female
1737982,Alison Reid,0,Unknown
127266,Alison Seebohm,0,Unknown
56100,Alistair Petrie,2,Male
73777,Aliya,0,Unknown
56097,Alki David,2,Male
1427425,Allan Bryan Weku,0,Unknown
78018,Allan Corduner,2,Male
31139,Allan Louis,2,Male
180937,Allegra Fulton,1,Female
2696,Allelon Ruggiero,2,Male
120252,Allen Boudreaux,0,Unknown
20818,Allen Covert,2,Male
122454,Allen Danziger,0,Unknown
1152492,Allen Fiuzat,0,Unknown
554391,Allen Hamilton,2,Male
14795,Allen Joseph,2,Male
85718,Allen Leech,2,Male
93793,Allen O. Battle III,2,Male
32486,Allen Payne,2,Male
87605,Allen Yates,0,Unknown
1204830,Allie Braun,0,Unknown
226833,Allie MacDonald,1,Female
5348,Allie Mickelson,0,Unknown
144287,Allison Cratchley,1,Female
167736,Allison Dean,0,Unknown
1334169,Allison Egan,0,Unknown
104897,Allison Graham,1,Female
19,Allison Janney,1,Female
1080067,Allison Karman,0,Unknown
21143,Allison Mackie,1,Female
1714289,Allison Macri,0,Unknown
17270,Allison Miller,1,Female
1331652,Allison Tolman,0,Unknown
12851,Ally Sheedy,1,Female
94008,Allyce Beasley,1,Female
81579,Allyson Sereboff,1,Female
1458290,Alma Sisneros,0,Unknown
49551,Aloma Wright,1,Female
16607,Alon Aboutboul,2,Male
583781,Alon Friedman,0,Unknown
106836,Alonna Shaw,0,Unknown
60506,Alphonso McAuley,2,Male
2629,Alun Armstrong,2,Male
262,Alvaro Guerrero,0,Unknown
17076,Alvaro Roque,0,Unknown
62933,Alvin Van Der Kuech,0,Unknown
90033,Aly Michalka,1,Female
1031261,Alyshia Ochse,1,Female
1210485,Alyson Bath,1,Female
21595,Alyson Hannigan,1,Female
19262,Alyson Reed,1,Female
58965,Alyson Stoner,1,Female
24967,Alyssa Milano,1,Female
86625,Amadu Mamadakov,0,Unknown
1081842,Amalie Collier,0,Unknown
77788,Amanda Barnett,0,Unknown
64341,Amanda Brooks,1,Female
1232769,Amanda Brugel,1,Female
29220,Amanda Bynes,1,Female
141780,Amanda Byram,1,Female
58370,Amanda Crew,1,Female
19275,Amanda Detmer,1,Female
18191,Amanda Donohoe,1,Female
235837,Amanda Fairbank-Hynes,1,Female
13024,Amanda Foreman,1,Female
133401,Amanda Fuller,1,Female
66872,Amanda Lear,0,Unknown
167263,Amanda MacDonald,1,Female
2956,Amanda Peet,1,Female
99,Amanda Plummer,1,Female
70633,Amanda Redman,1,Female
55913,Amanda Sandrelli,1,Female
65871,Amanda Schull,1,Female
71070,Amanda Seyfried,1,Female
54587,Amanda Swisten,1,Female
108620,Amanda Walker,1,Female
13656,Amanda Wyss,1,Female
3123,Amanda de Cadenet,1,Female
561869,Amandla Stenberg,1,Female
1770285,Amarinder Sodhi,0,Unknown
17341,Amaury Nolasco,2,Male
1514638,Amaya Press,0,Unknown
967678,Amber Armstrong,1,Female
35468,Amber Benson,1,Female
1763429,Amber Hay,1,Female
55085,Amber Heard,1,Female
1137369,Amber Henry,0,Unknown
1267185,Amber Lee Ettinger,1,Female
1417798,Amber Marie Bollinger,0,Unknown
200920,Amber Marshall,1,Female
574378,Amber Rose Revah,1,Female
16454,Amber Rules,0,Unknown
20354,Amber Tamblyn,1,Female
38425,Amber Valletta,1,Female
1188935,Amber Willenborg,0,Unknown
77789,Amberlee Colson,0,Unknown
57897,Amelia Curtis,1,Female
59174,America Ferrera,1,Female
1198999,Ami Ameen,0,Unknown
1146393,Ami Ayalon,0,Unknown
170107,Ami Foster,1,Female
20115,Amidou,2,Male
1867388,Amit Patel,0,Unknown
35780,Amitabh Bachchan,2,Male
583777,Amos Oz,0,Unknown
1283850,Amparo Fernández,0,Unknown
81133,Amy Acker,1,Female
9273,Amy Adams,1,Female
33457,Amy Aquino,1,Female
1298586,Amy Badberg,0,Unknown
15851,Amy Brenneman,1,Female
1157360,Amy Ganser,0,Unknown
92728,Amy Hargreaves,0,Unknown
181851,Amy Hathaway,1,Female
59401,Amy Hill,1,Female
27563,Amy Irving,1,Female
63864,Amy Lalonde,0,Unknown
357551,Amy Landecker,1,Female
23882,Amy Madigan,1,Female
26930,Amy Morton,1,Female
56322,Amy Poehler,1,Female
39388,Amy Ryan,1,Female
12110,Amy Sedaris,1,Female
20189,Amy Smart,1,Female
944474,Amy Sobol,1,Female
58710,Amy Steel,1,Female
18386,Amy Stock-Poynton,1,Female
1223442,Amy Warren,0,Unknown
87007,Amy Wright,1,Female
1219,Amy Yasbeck,1,Female
7351,Ana Claudia Talancón,1,Female
973091,Ana Coto,1,Female
1585906,Ana Dolinar,0,Unknown
86267,Ana Gasteyer,1,Female
228714,Ana Girardot,1,Female
1486158,Ana Maria Guran,0,Unknown
38333,Ana Ortiz,1,Female
24976,Ana Torrent,1,Female
1486162,Ana Vatamanu,0,Unknown
34053,Ana Wagener,0,Unknown
224513,Ana de Armas,1,Female
57409,Ana de la Reguera,1,Female
124644,Analeigh Tipton,1,Female
1128842,Analin Rudd,0,Unknown
86884,Anand Tiwari,2,Male
100705,Anas Wellman,0,Unknown
1371550,Anastasia Sanidopoulos Mousis,0,Unknown
1225863,Anatol Yusef,0,Unknown
521563,Anders Holm,2,Male
1478276,Andi Morrow,0,Unknown
1659211,Andi Osho,1,Female
1533,Andie MacDowell,1,Female
6861,Andre Braugher,2,Male
1379499,Andre Darnell Myers,0,Unknown
1115002,Andre Kinney,0,Unknown
74957,Andre Royo,2,Male
77546,Andre Stojka,2,Male
56758,Andre Ware,2,Male
1216355,Andrea Anders,1,Female
1200531,Andrea Baeza,0,Unknown
74288,Andrea Bowen,1,Female
204975,Andrea Brooks,1,Female
571,Andrea Eckert,1,Female
146029,Andrea Edmondson,0,Unknown
946356,Andrea Frankle,1,Female
208506,Andrea Lowe,1,Female
8263,Andrea Martin,1,Female
127558,Andrea Riseborough,1,Female
19824,Andrea Ros,1,Female
44151,Andrea Roth,1,Female
71402,Andrea Savage,1,Female
1466507,Andrea Sheldon,0,Unknown
147159,Andrea Tidona,0,Unknown
1187082,Andrea Vergara,0,Unknown
1500435,Andreas Berg,0,Unknown
19913,Andreas Günther,0,Unknown
1175597,Andrej Annenski,0,Unknown
584927,Andrej Nahtigal,0,Unknown
1544273,Andres Gil,0,Unknown
208524,Andrew Astor,2,Male
1350469,Andrew Bachelor,2,Male
47525,Andrew Bicknell,2,Male
202760,Andrew Brooke,0,Unknown
52366,Andrew Bryniarski,2,Male
1235008,Andrew Buchan,0,Unknown
40864,Andrew Bujalski,0,Unknown
1224676,Andrew Chalmers,0,Unknown
1037730,Andrew Chalmers,0,Unknown
5355,Andrew Farago,0,Unknown
65699,Andrew Fiscella,2,Male
37625,Andrew Garfield,2,Male
990119,Andrew Gower,0,Unknown
66574,Andrew Hampton,0,Unknown
1227235,Andrew Hansen,0,Unknown
176191,Andrew Havill,2,Male
115437,Andrew Hyde,0,Unknown
211598,Andrew J. West,2,Male
1746117,Andrew Jacobs,2,Male
1216568,Andrew Kavadas,2,Male
40979,Andrew Keegan,2,Male
55626,Andrew Kemler,2,Male
55468,Andrew Knott,2,Male
1312526,Andrew Leung,0,Unknown
37041,Andrew McCarthy,2,Male
1381842,Andrew McDonough,0,Unknown
5894,Andrew Miller,2,Male
219762,Andrew Neil,0,Unknown
74088,Andrew Newberg,0,Unknown
1115351,Andrew Ng,0,Unknown
163801,Andrew Pang,2,Male
88838,Andrew Parks,2,Male
60693,Andrew Pozza,2,Male
15668,Andrew Prine,2,Male
59581,Andrew Rothenberg,2,Male
57352,Andrew Rubin,2,Male
47851,Andrew Sachs,2,Male
125660,Andrew Scott,2,Male
141226,Andrew Sensenig,2,Male
582857,Andrew Twifford ,0,Unknown
71555,Andrew Wilson,2,Male
1210749,Andrey Prytkov,0,Unknown
936824,Andrey Sumin,0,Unknown
1120198,Andrzej Blumenfeld,0,Unknown
